Player Name
2nd Row. is number 11 Shaun Lane
2nd Row. is number 11 Scott Sorensen
2nd Row. is number 12 Bryce Cartwright
2nd Row. is number 12 Liam Martin
Lock. is number 13 Ryan Matterson
Lock. is number 13 Isaah Yeo
Interchange. is number 14 Joey Lussick
Interchange. is number 10 Lindsay Smith
Interchange. is number 15 Joe Ofahengaue
Interchange. is number 14 Trent Toelau
Interchange. is number 16 Matt Doorey
Interchange. is number 17 Mavrik Geyer
Interchange. is number 17 Dan Keir
Interchange. is number 18 Luron Patea
Fullback. is number 1 Kaeo Weekes
Fullback. is number 1 Tom Trbojevic
Winger. is number 2 Jordan Rapana
Winger. is number 2 Jason Saab
Centre. is number 3 Matthew Timoko
Centre. is number 3 Tommy Talau
Centre. is number 4 Sebastian Kris
Centre. is number 4 Reuben Garrick
Winger. is number 5 Xavier Savage
Winger. is number 5 Lehi Hopoate
Five-Eighth. is number 6 Ethan Strange
Five-Eighth. is number 6 Luke Brooks
Halfback. is number 7 Jamal Fogarty
Halfback. is number 7 Daly Cherry-Evans
Prop. is number 8 Josh Papalii
Prop. is number 8 Taniela Paseka
Hooker. is number 9 Tom Starling
Hooker. is number 9 Lachlan Croker
Prop. is number 10 Joseph Tapine
Prop. is number 10 Nathan Brown
2nd Row. is number 11 Hudson Young
2nd Row. is number 11 Haumole Olakau'atu
2nd Row. is number 12 Elliott Whitehead
2nd Row. is number 12 Karl Lawton
Lock. is number 13 Morgan Smithies
Lock. is number 13 Jake Trbojevic
Interchange. is number 14 Adam Cook
Interchange. is number 14 Gordon Chan Kum Tong
Interchange. is number 15 Trey Mooney
Interchange. is number 15 Ben Trbojevic
Interchange. is number 16 Ata Mariota
Interchange. is number 16 Ethan Bullemor
Interchange. is number 17 Simi Sasagi
Interchange. is number 17 Toafofoa Sipley
Fullback. is number 1 Scott Drinkwater
Fullback. is number 1 Reece Walsh
Winger. is number 2 Kyle Feldt
Winger. is number 2 Josiah Karapani
Centre. is number 3 Valentine Holmes
Centre. is number 3 Kotoni Staggs
Centre. is number 4 Viliami Vailea
Centre. is number 4 Deine Mariner
Winger. is number 5 Murray Taulagi
Winger. is number 5 Jesse Arthars
Five-Eighth. is number 6 Tom Dearden
Five-Eighth. is number 6 Josh Rogers
Halfback. is number 7 Chad Townsend
Halfback. is number 7 Adam Reynolds
Prop. is number 8 Jordan McLean
Prop. is number 8 Corey Jensen
Hooker. is number 9 Reece Robson
Hooker. is number 9 Billy Walters
Prop. is number 10 Sam McIntyre
Prop. is number 10 Xavier Willison
2nd Row. is number 11 Heilum Luki
2nd Row. is number 11 Brendan Piakura
2nd Row. is number 24 Jeremiah Nanai
2nd Row. is number 12 Jordan Riki
Lock. is number 13 Reuben Cotter
Lock. is number 13 Patrick Carrigan
Interchange. is number 14 Harrison Edwards
Interchange. is number 14 Blake Mozer
Interchange. is number 16 Kulikefu Finefeuiaki
Interchange. is number 15 Kobe Hetherington
Interchange. is number 17 Griffin Neame
Interchange. is number 16 Tristan Sailor
Interchange. is number 18 Jaxon Purdue
Interchange. is number 17 Martin Taupau
Fullback. is number 1 Tyrell Sloan
Fullback. is number 1 Connor Tracey
Winger. is number 2 Zac Lomax
Winger. is number 2 Jacob Kiraz
Centre. is number 3 Mosese Suli
Centre. is number 3 Bronson Xerri
Centre. is number 4 Max Feagai
Centre. is number 4 Stephen Crichton
Winger. is number 5 Christian Tuipulotu
Winger. is number 5 Josh Addo-Carr
Five-Eighth. is number 6 Kyle Flanagan
Five-Eighth. is number 6 Matt Burton
Halfback. is number 7 Ben Hunt
Halfback. is number 7 Toby Sexton
Prop. is number 14 Hame Sele
Prop. is number 8 Josh Curran
Hooker. is number 9 Jacob Liddle
Hooker. is number 9 Reed Mahoney
Prop. is number 17 Blake Lawrie
Prop. is number 10 Samuel Hughes
2nd Row. is number 11 Luciano Leilua
2nd Row. is number 11 Viliame Kikau
2nd Row. is number 12 Jaydn Su'A
2nd Row. is number 12 Jacob Preston
Lock. is number 13 Tom Eisenhuth
Lock. is number 13 Kurt Mann
Interchange. is number 8 Francis Molo
Interchange. is number 14 Bailey Hayward
Interchange. is number 10 Jack De Belin
Interchange. is number 15 Lipoi Hopoi
Interchange. is number 15 Raymond Faitala-Mariner
Interchange. is number 16 Kurtis Morrin
Interchange. is number 16 Ryan Couchman
Interchange. is number 17 Harry Hayes
Fullback. is number 1 Hamiso Tabuai-Fidow
Fullback. is number 1 Charnze Nicoll-Klokstad
Winger. is number 2 Jamayne Isaako
Winger. is number 2 Dallin Watene-Zelezniak
Centre. is number 3 Jake Averillo
Centre. is number 3 Ali Leiataua
Centre. is number 4 Herbie Farnworth
Centre. is number 4 Roger Tuivasa-Sheck
Winger. is number 5 Jack Bostock
Winger. is number 5 Edward Kosi
Five-Eighth. is number 6 Kodi Nikorima
Five-Eighth. is number 6 Chanel Harris-Tavita
Halfback. is number 7 Isaiya Katoa
Halfback. is number 18 Te Maire Martin
Prop. is number 8 Jesse Bromwich
Prop. is number 8 Addin Fonua-Blake
Hooker. is number 9 Max Plath
Hooker. is number 9 Wayde Egan
Prop. is number 10 Tevita Pangai Junior
Prop. is number 10 Mitchell Barnett
2nd Row. is number 11 Felise Kaufusi
2nd Row. is number 11 Marata Niukore
2nd Row. is number 12 Connelly Lemuelu
2nd Row. is number 12 Kurt Capewell
Lock. is number 13 Kenneath Bromwich
Lock. is number 13 Dylan Walker
Interchange. is number 14 Oryn Keeley
Interchange. is number 14 Freddy Lussick
Interchange. is number 15 Mark Nicholls
Interchange. is number 15 Tom Ale
Interchange. is number 16 Ray Stone
Interchange. is number 16 Jazz Tevaga
Interchange. is number 17 Sean O'Sullivan
Interchange. is number 20 Demitric Sifakula
Reserve. is number 18 Lachlan Hubner
Fullback. is number 1 Kalyn Ponga
Fullback. is number 1 Jahream Bula
Winger. is number 2 Fletcher Sharpe
Winger. is number 2 Solomon Alaimalo
Centre. is number 3 Dane Gagai
Centre. is number 3 Solomona Faataape
Centre. is number 22 Krystian Mapapalangi
Centre. is number 4 Adam Doueihi
Winger. is number 5 Greg Marzhew
Winger. is number 5 Charlie Staines
Five-Eighth. is number 6 Tyson Gamble
Five-Eighth. is number 6 Lachlan Galvin
Halfback. is number 7 Phoenix Crossland
Halfback. is number 7 Aidan Sezer
Prop. is number 8 Daniel Saifiti
Prop. is number 8 Stefano Utoikamanu
Hooker. is number 9 Jayden Brailey
Hooker. is number 9 Apisai Koroisau
Prop. is number 10 Leo Thompson
Prop. is number 10 David Klemmer
2nd Row. is number 11 Tyson Frizell
2nd Row. is number 11 Reuben Porter
2nd Row. is number 12 Kai Pearce-Paul
2nd Row. is number 12 Samuela Fainu
Lock. is number 13 Adam Elliott
Lock. is number 13 Isaiah Papali'i
Interchange. is number 14 Jack Cogger
Interchange. is number 14 Tallyn Da Silva
Interchange. is number 15 Mat Croker
Interchange. is number 15 Alex Seyfarth
Interchange. is number 16 Jack Hetherington
Interchange. is number 16 Fonua Pole
Interchange. is number 17 Brodie Jones
Interchange. is number 17 Alex Twal
